anchor_id,city_id,city_name,anchor_name,anchor_type,official_source_type,official_strength,mcp_supply_strength,mcp_product_count,gap_score,classification,reason,top_product_titles,analysis_scope
official-hiroshima-facility-1,jp-hiroshima,히로시마,縮景園,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-2,jp-hiroshima,히로시마,ひろしま遊学の森 広島県緑化センター,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-3,jp-hiroshima,히로시마,ひろしま遊学の森 広島市森林公園（こんちゅう館）,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-4,jp-hiroshima,히로시마,半べえ庭園,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-5,jp-hiroshima,히로시마,渝華園(中国庭園),place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-6,jp-hiroshima,히로시마,大芝公園｢交通ランド」,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-7,jp-hiroshima,히로시마,広島市安佐動物公園,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-8,jp-hiroshima,히로시마,花みどり公園,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-9,jp-hiroshima,히로시마,広島市植物公園,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-10,jp-hiroshima,히로시마,広島県立美術館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-11,jp-hiroshima,히로시마,広島市映像文化ライブラリー,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-12,jp-hiroshima,히로시마,ひろしま美術館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-13,jp-hiroshima,히로시마,5-Daysこども文化科学館（プラネタリウム）,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
official-hiroshima-facility-14,jp-hiroshima,히로시마,広島城,place,tourism_facility,1.0,0.45,1,0.55,부분 상품화 자산,official asset has at least one MCP-linked product,"히로시마 일일관광 - 미야지마, 평화공원, 원폭돔, 히로시마성",primary_tourism_asset
official-hiroshima-facility-15,jp-hiroshima,히로시마,広島平和記念資料館,place,tourism_facility,1.0,0.45,1,0.55,부분 상품화 자산,official asset has at least one MCP-linked product,[히로시마] 평화기념관 + 미야지마 이쓰쿠시마 신사 :: 유네스코 등재지 1일 투어,primary_tourism_asset
official-hiroshima-facility-16,jp-hiroshima,히로시마,国立広島原爆死没者追悼平和祈念館,place,tourism_facility,1.0,0.0,0,1.0,상품화 부족 자산,official asset has no direct MCP product match in collected sample,,primary_tourism_asset
